Ecozone,Realm,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Boreal coniferous forest,EAS,0.327785139,0.469795757,0.446660008,0.455994359,0.31940487,0.449415848,0.419113696,0.003834643,0.31440728,0.315899642,0.421940483,0.881658414,0.911145261,0.642847023
Boreal coniferous forest,NAM,0.350552885,0.765733749,0.538849759,0.535481588,0.611084671,0.727930273,0.591239674,0.00616077,0.375074777,0.592626587,0.787648282,0.742815846,0.743633581,0.416287631
Boreal mountain system,EAS,0.222333074,0.31873796,0.414206805,0.639922896,0.173200788,0.226863047,0.265562364,0.006037211,0.365610674,0.257720136,0.341859337,0.664521987,0.455343697,0.277185619
Boreal mountain system,NAM,0.081638191,0.214131661,0.204843907,1.514506353,1.948114272,0.929878142,0.319820603,0.000503198,0.151706038,0.714670657,0.164481683,0.167001213,0.484590492,0.08279198
Boreal tundra woodland,EAS,0.143118657,0.233033251,0.060984365,0.405706526,0.055925788,0.052961386,0.036642209,0.000995005,0.039271664,0.100614284,0.301498393,0.078955357,0.15777153,0.14582791
Boreal tundra woodland,NAM,0.258184586,0.471043312,0.247037061,0.583086897,0.65825403,0.420097204,0.275752596,0.003023322,0.32570582,0.41986309,0.280610973,0.463091591,0.818338021,0.662322
BOREAL TOTAL,,0.278487244,0.457538207,0.406940061,0.587649841,0.451731831,0.449932688,0.375494398,0.440858016,0.323074812,0.373283771,0.423881439,0.698163263,0.718374057,0.475543573
Subtropical desert,AUS,3.047477712,1.327800352,5.931231863,0.133943532,1.846718274,0.300479118,0.224503062,0.003077232,0.335854239,6.128308763,0.032575973,0.068339608,0.011976721,0.008399121
Subtropical desert,EAS,0.048415271,0.018855153,0.092927558,0.017751509,0.012840374,0.015529788,0.037754151,0.000193325,0.046687512,0.023375016,0.00144652,0.016857249,0,0.001786999
Subtropical desert,NAM,0.095289715,0.129879371,0.206059845,0.14588118,0.086256904,0.10650612,0.087544243,0.000974958,0.128919141,0.125392706,0.310374052,0.345693925,0.653370961,0.065833537
Subtropical dry forest,AFR,0.373067721,0.455374968,0.442902368,0.476870093,0.48838519,0.823858768,0.503628397,0.006361629,0.723990582,0.488585303,0.721070523,0.701759765,0.705370642,0.639929748
Subtropical dry forest,AUS,0.537450533,0.617778652,0.874018345,0.644112062,0.939917239,0.927935753,1.576105531,0.013946901,0.723716157,0.589227667,0.882136633,0.749841859,0.684251199,0.718135906
Subtropical dry forest,EAS,0.3165353,0.346019648,0.281504054,0.581137844,0.354866683,0.428221156,0.664170969,0.005005889,0.451112904,0.409636377,0.293328109,0.657921637,0.441170921,0.375988261
Subtropical dry forest,NAM,0.52272242,0.500124946,0.467460791,0.651697211,0.565041077,0.717528495,0.704664705,0.025458441,0.731261848,0.383439125,0.443109908,0.375608471,0.293649406,0.337444513
Subtropical dry forest,SAM,1.222906621,1.470812639,1.434287365,1.488147559,1.708627443,1.661570794,2.129586795,0.019496259,1.617248161,1.55737008,1.739343439,2.363647411,1.80249145,1.936669717
Subtropical humid forest,AFR,0.477653108,0.39453266,0.585176809,0.718954191,0.618725396,0.710292051,0.616123798,0.004167422,0.643806363,0.342186687,0.477935386,0.748996337,0.569058113,0.590255709
