country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.043027144,0.087253346,0.1193412,0.098391793,0.115248435,0.074282674,0.123495492,0.052460451,0.034388169,0.042849222,0.055170661,0.019199027,0.000709123,0.001328184
Albania,0.574471488,0.137348094,0.094569581,0.498919853,0.107033044,0.148828705,0.806971534,0.84495979,0.206195006,0.101532294,0.183205497,0.831048091,0.395879857,0.114765987
Algeria,0.283483093,0.245977453,0.313122722,0.357476493,0.365273776,0.442570997,0.425095212,0.651536172,0.855433904,0.212943606,0.681917096,0.891838934,0.566067946,0.552342183
American Samoa,,,,,,,,,,,,,,
Andorra,0.00870456,0.006603997,0.001799958,0.118866542,0.012608715,0.03485874,0.01141371,0.027614549,0.015014221,0.005702606,0.004805612,0.040505828,0.017702537,0.001800644
Angola,0.183042702,0.110395527,0.094960186,0.128921918,0.169000366,0.139316441,0.262803157,0.187311139,0.300250189,0.289214297,0.331058848,0.326961197,0.305282203,0.317104501
Anguilla,0.18244991,0.006883615,0.051639943,0.416508217,0.172110218,0.061961464,0.406232067,0.488795305,0.089495566,0.020652206,0.048197314,0.089502462,0.061961998,0.017209455
Antarctica,,,,,,,,,,,,,,
Antigua and Barbuda,0.124586038,0.091371562,0.088380263,0.131774599,0.316537336,0.316467556,0.192295018,0.236478959,0.318423629,0.09903295,0.133706026,0.172565317,0.110463445,0.114257089
Argentina,0.378146263,0.26863675,0.637437476,1.108884987,0.939569743,0.809597564,1.088201976,1.51649802,0.79273957,1.057208446,1.277119076,1.223369028,0.963944064,0.524468683
Armenia,0.03905247,0.051308795,0.116949774,0.02470259,0.030837579,0.038467176,0.016116422,0.033510868,0.06010514,0.04801014,0.05163489,0.058658235,0.01240483,0.011286523
Aruba,0,2.108444491,3.915684166,0,0,0.903668034,0,0,1.506058235,0,0,0.60244649,0,0
Australia,0.517210185,0.737799246,0.883621408,0.2949188,0.418432749,0.440366195,0.880943918,0.486248456,0.481507779,0.687177622,0.286759316,0.330464287,0.614746281,0.510245256
Austria,0.159686952,0.251465805,0.333873782,0.336882682,0.499303525,0.290000848,0.730451009,0.620400862,0.366083382,0.385554208,0.417168519,0.257110922,0.17627193,0.161895456
Azerbaijan,0.043639507,0.090973157,0.082063203,0.046117315,0.019419172,0.041414602,0.04003715,0.037244407,0.029320861,0.043357105,0.011613778,0.04711229,0.011755343,0.025541952
Bahamas,0.142633225,0.230906761,0.090333691,0.193724309,0.477670621,0.3346035,0.199228149,0.642092779,0.271422492,0.131975113,0.20581174,0.122076411,0.518061611,0.160319766
Bahrain,,,,,,,,,,,,,,
Bangladesh,0.235434482,0.204431733,0.110843412,0.219572185,0.168901082,0.353615111,0.206057136,0.231608216,0.289777771,0.244555447,0.218214855,0.276707691,0.311602034,0.455639175
Barbados,0.236483471,0.217830905,0.057323148,0.159081404,0.18200283,0.078824906,0.604776918,0.262283339,0.253644465,0.333898002,0.346804757,2.22848218,0.101756427,0.035828106
Belarus,0.201507931,0.278689255,0.352594613,0.42328314,0.397172609,0.464091008,0.358336851,0.394133175,0.390199884,0.392318803,0.498038353,0.434689785,0.308377624,0.300127094
Belgium,0.112112445,0.270973602,0.217613754,0.553029216,0.349384302,0.798498118,0.691599124,0.830970302,0.597416044,1.261611148,0.580120942,0.651139607,0.382062155,0.401336429
Belize,0.469697326,0.770687145,0.391467809,0.246659333,0.463532186,0.244226951,0.701468416,0.469948519,0.587095062,0.558605686,1.509283443,0.659348361,0.936511735,0.8292425
Benin,2.224222406,2.064557704,2.062030015,0.405537755,0.943883161,1.064735053,2.764281589,0.285671791,2.924133724,0.313961294,0.388369576,1.699853309,0.778855859,0.696784334
Bermuda,0.032374431,0.118698557,0.021586874,0.107919166,0.053952884,0.010796225,0,0.032387157,0.075565346,0.151127263,0.021567209,0.09716395,0.237498944,0.14033651
Bhutan,0.011595872,0.008494457,0.021072501,0.039595935,0.03011101,0.024204844,0.019640452,0.030083251,0.045684705,0.168800096,0.042297644,0.029942973,0.018991793,0.038070672
Bolivia,0.217479441,0.277129388,0.253802922,0.315014168,0.388629133,0.335258946,0.294402754,0.573220973,0.349140162,0.70016922,0.511828689,0.423958374,0.278702794,0.341699775
Bonaire Sint Eustatius and Saba,0.124660724,0.086611094,0.664046589,0.012227998,0.045500477,0.283727628,0.027174881,0.024296893,0.039313742,0.099605296,0.362199311,0.132482026,0.179279648,0.045579668
Bosnia and Herzegovina,0.056287398,0.026059608,0.011580657,0.155073471,0.021580896,0.020164527,0.100883639,0.058382267,0.048771449,0.034260534,0.036517037,0.091564196,0.096844936,0.049302766
Botswana,0.643503474,0.111777851,0.042047542,0.249156059,0.240810402,0.196725125,0.164606798,0.12783776,0.20269335,0.149598805,0.10512856,0.07743488,0.069266387,0.076481505
Bouvet Island,,,,,,,,,,,,,,
Brazil,0.528972893,0.675487857,0.625694479,0.741306273,0.671541782,0.554097471,0.504985093,0.470794736,0.350143404,0.51790448,0.370456351,0.562153794,0.374721243,0.435727303
British Indian Ocean Territory,,,,,,,,,,,,,,
British Virgin Islands,0.054830741,0.040145892,0.024483534,0.035249174,0.049939464,0.037207441,0.082244967,0.093989837,0.069516962,0.052870955,0.205613344,0.011750783,0.037205855,0.006852584
Brunei,0.235600867,0.20620451,0.151347303,0.226712477,0.242028661,0.191938366,0.296361022,0.246183358,0.410823786,0.183112426,0.496169193,0.343493558,0.165022315,0.33571479
Bulgaria,0.198839901,0.112889255,0.126670828,0.198484858,0.15955842,0.125801638,0.231466076,0.156433028,0.148043902,0.087952071,0.082458962,0.24241032,0.090629272,0.114772891
Burkina Faso,45.02142301,3.257104916,1.542856226,6.513656632,12.79839535,3.600883412,2.171007653,3.601207125,3.430298605,5.266325332,11.5955982,0.285927095,0.17143815,0
Burundi,0.263354065,0.183333697,0.246352203,0.11410578,0.183087388,0.063835546,0.345913409,0.371432103,0.164056233,0.353839863,0.178510351,0.161827601,0.261256196,0.289222646
Cambodia,0.323374495,0.622704858,0.645103402,0.899504156,0.733802819,0.913751812,0.88167832,0.947604237,1.373788334,2.699994991,2.180840081,2.219787574,2.157827997,1.404949747
Cameroon,0.124753072,0.091407821,0.080494603,0.073106578,0.079934118,0.114395765,0.145940393,0.111711024,0.114666824,0.184362695,0.087803169,0.162939724,0.268868079,0.447601571
Canada,0.324863188,0.554183931,0.384451263,0.647367098,0.698634517,0.575544947,0.506587626,0.466189626,0.370838659,0.503472602,0.516825444,0.608865366,0.671496595,0.496458342
Cape Verde,0.097015978,0.310415247,0.121333307,0.008090474,0.074488016,0.081896203,0.008044792,0.002013952,0.108173422,0.012128494,0.223077026,0.122255208,0.132828987,0.055448799
Cayman Islands,0.153670768,0.041596685,0.0469952,0.349990405,0.068065329,0.133444038,0.132735984,0.240342158,0.222042265,0.295677015,0.295538398,0.068564451,0.134529405,0.057253392
Central African Republic,0.066458458,0.073129147,0.029201461,0.030992361,0.062306607,0.122981701,0.079276316,0.067676757,0.102528793,0.103195765,0.104360746,0.121795888,0.093914003,0.104061
Chad,0.204919365,0.477532051,0.047297814,0.110599072,0.114976515,0.726919517,0.243837838,0.827630981,0.251827989,0.061793015,0.224579548,0.608598085,0.706782793,0.532307233
Chile,0.376995291,0.404835793,0.429529716,0.444488923,0.554391003,0.476605801,0.630745881,0.638087501,0.459202401,0.474388263,0.515110912,0.90635645,0.530110752,0.56124705
China,0.141501664,0.153096307,0.160844452,0.308168529,0.235703653,0.353461305,0.401226189,0.453456427,0.368425929,0.385767563,0.367803905,0.371723432,0.271165924,0.235707707
Christmas Island,,,,,,,,,,,,,,
Clipperton Island,,,,,,,,,,,,,,
Cocos Islands,,,,,,,,,,,,,,
Colombia,0.281014205,0.222596466,0.149551947,0.31001215,0.230573657,0.232071025,0.328751729,0.283279524,0.290703474,0.240790988,0.231984613,0.27815919,0.169660575,0.202377713
