Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mon,0.128022756,0.101934448,0.090013301,0.252071796,0.204559977,0.873008078,0.734619107,0.645296887,0.881992131,1.01917171,0.899614696,1.309252961,1.558560433,1.30130553
?li Bayramli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Eua,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Üria,0,0,0,0.165227223,0,0.141623334,0.023603889,0,0.047207778,0,0,0,0,0
`Adan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
`Asir,0,0,0,0,0,0,0,0,0,0,0,0,0,0
öh Kong,0.217651105,0.239271476,0.227963751,0.408435053,0.564933977,0.590806054,0.860834544,0.303408897,1.022308867,1.148412625,0.41929047,0.867619179,0.564753054,0.432045585
ökiri,0.316916606,0.313085351,0.235622169,0.55672921,0.458313853,0.836291082,1.081012481,1.025100107,1.05120053,1.720712302,2.142270054,2.379328944,2.602020628,1.861032008
ömboun,0.057644044,0.07368783,0.17577174,0.159160033,0.120399382,0.430768545,0.557557045,0.36559954,0.511271434,0.784867672,0.546908515,0.596459676,0.612929403,0.671141368
ömxai,0.15437114,0.397622633,0.748466133,0.343322149,0.253524558,0.6978346,0.594645336,0.250405949,0.787265296,1.1435205,0.390468177,0.834503049,1.77916637,2.296855445
önd‹”l Kiri,0.08200027,0.133426337,0.057310641,0.190992829,0.226300278,0.218624746,0.168350009,0.444797098,0.582444978,0.396697096,0.470765983,0.635662002,1.146852455,1.209152192
öne-Alpes,0.080242789,0.097086595,0.088637079,0.229351893,0.094932797,0.216815683,0.15192561,0.177771188,0.173574043,0.176832353,0.114703559,0.16821716,0.104321148,0.112328859
öng B?c,0.173648527,0.107859609,0.180414054,0.326741258,0.354269954,0.259474811,0.392867156,0.307118637,0.489321279,0.539220281,0.471176187,0.336073019,0.697212187,0.751932599
öng C?u Long,0.30417791,0.155766782,0.161824379,0.118123143,0.163771463,0.167016605,0.179564484,0.154685068,0.490016334,0.433983561,0.233001144,0.266101585,0.129805651,0.267183299
öng H?ng,0.341322896,0.101445814,0.165906175,0.344493077,0.437485074,0.123637086,0.270522171,0.227196355,0.351890168,0.304337443,0.319131624,0.172246539,0.284259625,0.219799264
öng Nam B?,0.691426148,1.044544406,0.398000438,1.004097818,1.026350959,0.646468788,0.722926372,1.022817521,1.442093767,1.593354983,1.339849604,1.1738532,0.45694119,1.009736283
öngsali,0.100787552,0.246246257,0.427982931,0.095307706,0.194638591,0.330802366,0.414942284,0.233552436,0.600285945,0.55138352,0.304721072,0.618112787,1.191276962,0.953077061
önia,1.434149015,2.1937519,1.725859771,1.722799178,2.120542946,1.575933378,0.849719748,0.672397317,0.511700197,1.097046576,0.82232371,0.858922855,0.420810187,0.894946139
öt,0.30860391,0.27320848,0.999920913,0.506044046,1.145927064,0.80911742,1.905822714,0.759342596,0.621632249,2.779094353,1.414158062,1.774195957,0.997155645,0.866634995
öte d'Azur,0.180537176,0.227837563,0.200871922,0.616408028,0.277967132,0.283448672,0.323410867,0.364964478,0.286808325,0.311828904,0.236325109,0.244016948,0.19211914,0.180802412
Âaje,0.319247383,0.033604988,0,0.029404364,0.029404364,0.016802494,0.050407481,0.197429302,0.021003117,0,0.092413716,0.201629926,0.033604988,0.646896012
Âdinska,0.029627605,0.098758682,0.029627605,0.075056599,0.077031772,0.063205557,0.079006946,0.090857988,0.077031772,0.059255209,0.035553126,0.067155904,0.067155904,0.183691149
Âevacka,0.187273667,0.054369774,0.028695159,0.496879326,0.308095388,0.193314753,0.104208734,0.196335296,0.218989369,0.302054302,0.259766699,0.437978737,0.315646745,0.243153713
Âine,0.306427745,0.031699422,0.005283237,0.089815029,0.023774566,0.018491329,0.026416185,0.187554913,0.039624277,0.018491329,0.005283237,0.081890173,0.322277456,0.084531792
Âno-Backi,0.568971871,0.335478697,0.209338707,0.579707189,0.373052311,0.542133575,0.222757855,0.778310578,0.837354828,0.69779569,0.472354006,0.563604211,0.244228492,0.44551571
